trial_number,value,state,datetime_start,datetime_complete,duration_seconds,n_estimators,max_depth,min_samples_split
0,0.9371690938214544,COMPLETE,2025-07-17 12:48:09.562776,2025-07-17 12:48:09.725026,0.16225,66,6,3
1,0.9000097819840308,COMPLETE,2025-07-17 12:48:09.725171,2025-07-17 12:48:09.767507,0.042336,16,12,9
2,0.925718058765269,COMPLETE,2025-07-17 12:48:09.767605,2025-07-17 12:48:10.006711,0.239106,100,9,5
3,0.9028465573529951,COMPLETE,2025-07-17 12:48:10.006807,2025-07-17 12:48:10.037850,0.031043,11,10,5
4,0.912836408544563,COMPLETE,2025-07-17 12:48:10.037973,2025-07-17 12:48:10.136322,0.098349,39,11,2
5,0.9128608635046404,COMPLETE,2025-07-17 12:48:10.136448,2025-07-17 12:48:10.265261,0.128813,52,13,4
6,0.9171160265580866,COMPLETE,2025-07-17 12:48:10.265416,2025-07-17 12:48:10.470648,0.205232,83,15,5
7,0.9157587762737976,COMPLETE,2025-07-17 12:48:10.470769,2025-07-17 12:48:10.612736,0.141967,58,7,10
8,0.9000097819840308,COMPLETE,2025-07-17 12:48:10.612865,2025-07-17 12:48:10.833869,0.221004,88,15,4
9,0.9228873971363242,COMPLETE,2025-07-17 12:48:10.833992,2025-07-17 12:48:10.951913,0.117921,44,9,8
